year_set,t_Ns,t_Nin,t_Bs,f_Ns,f_Nin,f_Bs,m_Ns,m_Nin,m_Bs
1995,273,3,33,124,2,18,149,1,15
1996,282,7,39,128,3,22,154,4,17
1997,279,7,34,126,3,20,153,4,14
1998,280,4,18,126,1,11,154,3,7
1999,278,2,2,124,0,2,154,2,0
2000,293,8,28,132,3,18,161,5,10
2001,319,11,45,144,3,29,175,8,16
2002,327,18,69,149,4,44,178,14,25
2003,336,10,64,150,1,39,186,9,25
2004,351,10,80,155,2,46,196,8,34
2005,358,8,74,158,2,42,200,6,32
2006,373,11,80,160,2,47,213,9,33
2007,382,10,66,164,2,40,218,8,26
2008,381,14,69,164,0,45,217,14,24
2009,384,10,50,163,0,34,221,10,16
2010,381,10,35,163,0,26,218,10,9
2011,381,4,14,164,0,10,217,4,4
2012,373,5,11,157,2,8,216,3,3
2013,367,3,7,152,2,4,215,1,3
2014,364,3,7,151,2,4,213,1,3
