Year,t_N,t_Nlow,t_Nhigh,t_Nbnsni,t_NbnsniLow,t_NbnsniHigh,t_Nbns,t_NbnsLow,t_NbnsHigh,t_Nnsnb,t_NnsnbLow,t_NnsnbHigh,t_Pbd,t_PbdLow,t_PbdHigh,t_Ps,t_PsLow,t_PsHigh,f_N,f_Nlow,f_Nhigh,f_Nbnsni,f_NbnsniLow,f_NbnsniHigh,f_Nbns,f_NbnsLow,f_NbnsHigh,f_Nnsnb,f_NnsnbLow,f_NnsnbHigh,f_Pbd,f_PbdLow,f_PbdHigh,f_Ps,f_PsLow,f_PsHigh,m_N,m_Nlow,m_Nhigh,m_Nbnsni,m_NbnsniLow,m_NbnsniHigh,m_Nbns,m_NbnsLow,m_NbnsHigh,m_Nnsnb,m_NnsnbLow,m_NnsnbHigh,m_Pbd,m_PbdLow,m_PbdHigh,m_Ps,m_PsLow,m_PsHigh,t_pace,t_paceLow,t_paceHigh,f_pace,f_paceLow,f_paceHigh,m_pace,m_paceLow,m_paceHigh,calves
1995,317.8642083,292,349,3.116,0,8,6.085416667,2,11,38.74820833,16,66,0.135719552,0.101359179,0.173806601,0.860788948,0.781256192,0.935030895,137.4284583,129,150,0.487958333,0,3,2.217708333,1,5,10.9405,3,22,0.168834261,0.116621949,0.226848263,0.905555487,0.827760977,0.968617488,184.8913333,156,227,2.990041667,0,8,3.980041667,1,9,31.90129167,6,70,0.110851904,0.073401097,0.152583962,0.813516928,0.655075135,0.953132795,293,290,296,128,124,133,164,160,168,7
1996,339.2759167,314,372,2.36375,0,8,9.111333333,5,15,47.91216667,25,76,0.159726767,0.124065372,0.198243003,0.833454213,0.758525191,0.902995689,143.3850417,135,156,0.390416667,0,3,2.837666667,1,6,11.994625,4,23,0.191344405,0.138849855,0.247948103,0.897604422,0.820961854,0.960426459,207.0172917,176,252.025,2.901416667,0,9,6.780375,2,13,46.115875,18,86,0.128245211,0.090383969,0.170645153,0.751062286,0.609916578,0.88003745,308,305,311,138,134,143,169,164,173,21
1997,338.892875,313,372,2.083291667,0,7,8.783166667,4,14,50.80958333,27,80,0.147423225,0.112596439,0.185470676,0.825723273,0.749161353,0.896792886,141.6107917,133,154,0.344083333,0,2,2.744666667,1,5,12.26670833,4,23,0.182945348,0.130010846,0.240008926,0.895067416,0.816770159,0.958305805,211.3325417,178,262,2.948,0,10,6.830791667,3,14,51.38454167,21,96,0.11735171,0.079849346,0.159379401,0.731894273,0.583817963,0.866577829,315,312,318,139,133,143,177,172,181,19
1998,341.2447083,311,380,1.679125,0,6,5.52225,2,10,55.56558333,27,91,0.090426073,0.060611005,0.124715519,0.823065785,0.73705616,0.903021999,138.482625,130,152,0.568041667,0,2,1.486125,0,3,10.91458333,3,23,0.119744143,0.07170794,0.17464288,0.912143298,0.827589028,0.979935685,224.00925,182,290,2.786291667,0,9,5.704375,2,12,64.22295833,25,125,0.081560841,0.046612634,0.122519938,0.697638049,0.53154289,0.849855132,314,311,317,135,130,140,179,174,183,5
1999,345.6266667,312,389,0.155208333,0,2,1.530708333,0,4,65.47145833,32,108.025,0.022685207,0.007372905,0.045680479,0.808490774,0.714844068,0.896456145,135.2862917,125,151,0.329041667,0,1,0.329041667,0,1,10.95725,1,26,0.037374615,0.008469047,0.082238349,0.918794413,0.8237858,0.992197535,244.64625,188,339,1.061375,0,6,2.74425,0,8,87.584875,32,179,0.030351406,0.00700731,0.06647975,0.645227128,0.45383191,0.824479982,311,308,314,133,128,137,179,173,182,4
2000,363.923625,336,401,1.582791667,0,7,9.043125,5,15,61.34083333,35,94,0.128379057,0.09493904,0.165302317,0.808122757,0.731009366,0.879566291,148.7925,140,162,0.319541667,0,2,2.702625,1,5,13.47295833,5,25,0.16698713,0.116189679,0.222358796,0.892381553,0.813763073,0.957679629,238.5595833,197,301,3.039708333,0,10,7.858583333,3,15,69.519875,31,126,0.101503235,0.065009496,0.143322307,0.683881949,0.534727805,0.825015603,314,312,316,131,127,135,183,178,186,1
2001,393.187875,366,429,2.082875,0,8,12.47166667,7,19,61.105,36,92,0.169444204,0.134899809,0.206700881,0.814090914,0.74332892,0.879674939,159.4619583,151,172,0.573791667,0,3,3.144833333,1,6,11.88816667,4,23,0.20933653,0.158163987,0.265138573,0.906718061,0.835776485,0.965357083,260.301375,219,322,3.3445,0,12,11.00879167,5,20,73.956875,36,128,0.129576489,0.092632957,0.170543579,0.680186779,0.54280684,0.807580724,332,331,334,141,136,145,192,188,196,31
2002,407.5181667,384,441,2.07825,0,10,18.859125,12,28,60.43991667,39,87,0.237785377,0.19919359,0.279215258,0.806060168,0.742062133,0.866298877,164.2930833,157,176,0.626875,0,4,4.026541667,2,8,10.66620833,4,20,0.273923846,0.218310479,0.333617452,0.911273114,0.845520043,0.963090949,272.1815417,235,328,3.355625,0,14,16.559875,9,28,76.82591667,43,124,0.177341158,0.136473576,0.221810956,0.661337289,0.542050786,0.772931468,355,354,358,151,147,156,204,199,208,21
2003,398.3814583,374,431,2.985375,0,10,12.64383333,7,20,49.39608333,28,76,0.203849202,0.166696756,0.243398307,0.845403241,0.778905012,0.90609758,158.754625,152,171,1.13325,0,4,2.070583333,0,5,6.621375,1,16,0.23838438,0.18544465,0.295442074,0.946161354,0.879706374,0.991009983,261.4833333,227,312,3.214875,0,12,11.80375,6,21,63.26845833,32,107,0.157230512,0.118637321,0.199493559,0.717753691,0.595363316,0.830320148,363,361,365,153,147,157,210,205,214,19
2004,407.5651667,385,439,3.348666667,0,11,13.04716667,7,21,43.2165,24,68,0.231928427,0.194433377,0.271219102,0.86294144,0.799850153,0.918857787,165.7788333,159,177,1.011125,0,4,2.82925,1,6,7.767708333,2,16,0.266984709,0.21156692,0.326692236,0.936877229,0.874687591,0.983254617,256.38375,228,299,2.968458333,0,11,10.601375,5,19,49.41529167,24,85,0.176617826,0.137420856,0.219948375,0.769629111,0.656313137,0.871105607,375,372,377,157,152,162,218,213,222,16
2005,411.878375,388,444,3.532333333,0,11,11.34279167,6,19,42.34604167,22,68,0.211221945,0.175295966,0.249592759,0.870700145,0.806362166,0.928224168,169.6087917,162,182,1.002083333,0,4,2.825041667,1,6,8.606708333,2,18,0.247146245,0.195445535,0.302996699,0.933454595,0.869858485,0.981590183,254.42725,226,297,3.04225,0,10,8.811083333,4,16,45.385,20,81,0.162626321,0.124598452,0.204267908,0.790994688,0.673718757,0.89386876,396,394,398,165,159,170,231,226,236,28
2006,436.305125,411,470,3.406541667,0,11,14.069625,8,22,48.89858333,27,76,0.223522929,0.186983489,0.262144916,0.856658129,0.793372697,0.913345864,170.9554167,164,183,1.03675,0,4,2.861416667,1,6,7.918666667,2,17,0.265379026,0.211719364,0.323631769,0.937722239,0.876392103,0.983144326,284.6767083,251,333,3.3505,0,12,11.97225,6,21,59.32620833,29,100,0.167884246,0.13003524,0.209733302,0.753408037,0.638988236,0.857663032,404,402,407,164,158,169,240,235,245,19
2007,451.502625,423,488,3.355666667,0,11,13.06679167,7,21,56.14695833,31,87,0.18874867,0.154849389,0.224953145,0.847845797,0.782047308,0.908112429,176.3622917,168,190,1.015625,0,4,2.837,1,6,9.346666667,2,20,0.232882483,0.182841739,0.286842641,0.931832172,0.865212994,0.981468552,298.546,259,355,3.715083333,0,12,11.45445833,5,20,68.83091667,33,118,0.142701539,0.106832382,0.182590951,0.735790914,0.614471639,0.848593406,419,417,421,165,159,170,254,248,258,23
