Ns,Nin,Bs
200,53,17
200,50,10
200,72,16
200,68,16
200,77,15
200,59,15
200,71,19
200,84,14
200,87,13
200,60,12
200,60,20
200,75,19
200,74,12
200,62,12
200,80,14
200,60,14
200,77,13
200,58,16
200,54,14
200,80,8
200,85,19
200,61,17
200,74,20
200,65,13
200,59,9
200,68,18
200,73,15
200,59,23
200,63,9
200,68,16
200,63,11
200,64,16
200,65,13
200,64,6
200,61,21
200,68,22
200,65,11
200,60,12
200,68,12
200,62,14
200,74,18
200,54,22
200,73,17
200,66,12
200,59,17
200,79,17
200,53,19
200,82,14
200,76,16
200,58,12
200,58,16
200,80,18
200,69,11
200,72,16
200,72,10
200,75,13
200,68,12
200,62,14
200,73,13
200,64,18
200,49,17
200,62,16
200,60,16
200,62,8
200,54,20
200,67,13
200,61,17
200,63,9
200,67,19
200,61,17
200,66,14
200,80,14
200,52,12
200,71,17
200,68,22
200,70,18
200,77,13
200,79,17
200,61,17
200,69,15
200,72,26
200,58,14
200,51,23
200,75,17
200,79,11
200,57,23
200,69,11
200,73,9
200,72,14
200,69,15
200,62,16
200,50,22
200,77,15
200,65,21
200,59,19
200,49,21
200,62,18
200,53,19
200,55,21
200,73,21
400,87,57
400,89,63
400,93,59
400,103,77
400,80,60
400,106,58
400,104,64
400,94,72
400,69,61
400,93,67
400,92,70
400,97,71
400,114,56
400,95,81
400,104,62
400,101,67
400,100,48
400,108,58
400,100,78
400,90,60
400,98,68
400,101,63
400,105,59
400,95,69
400,92,60
400,91,65
400,91,75
400,102,72
400,91,75
400,108,76
400,96,64
400,101,59
400,106,78
400,97,59
400,106,66
400,111,67
400,96,66
400,96,66
400,108,66
400,97,71
400,125,61
400,80,60
400,80,72
400,97,49
400,114,70
400,108,58
400,112,66
400,102,68
400,105,79
400,98,52
400,105,61
400,101,53
400,106,58
400,106,58
400,100,58
400,110,50
400,107,61
400,99,55
400,113,69
400,107,71
400,76,52
400,103,73
400,106,60
400,94,70
400,106,64
400,98,50
400,102,66
400,111,61
400,96,60
400,87,69
400,88,56
400,90,62
400,100,62
400,91,59
400,111,71
400,94,50
400,82,62
400,85,63
400,94,64
400,106,66
400,100,48
400,85,59
400,97,73
400,87,71
400,101,57
400,101,61
400,90,66
400,107,75
400,98,66
400,75,61
400,88,50
400,94,64
400,101,65
400,80,64
400,92,68
400,103,63
400,100,72
400,80,68
400,103,71
400,104,58
600,104,140
600,92,124
600,93,151
600,82,152
600,92,134
600,94,136
600,99,141
600,100,124
600,90,166
600,86,144
600,91,145
600,94,160
600,96,136
600,98,124
600,89,145
600,98,142
600,97,143
600,111,131
600,106,146
600,102,140
600,96,142
600,99,147
600,102,148
600,87,129
600,85,139
600,94,166
600,80,150
600,89,139
600,102,128
600,84,124
600,88,142
600,95,151
600,97,129
600,93,149
600,114,136
600,93,149
600,106,138
600,96,148
600,104,140
600,93,147
600,100,160
600,90,150
600,112,142
600,98,142
600,110,156
600,90,158
600,82,156
600,93,143
600,95,149
600,111,137
600,90,154
600,91,149
600,112,130
600,101,145
600,99,155
600,107,147
600,92,138
600,102,134
600,87,151
600,90,150
600,113,133
600,106,150
600,90,144
600,101,135
600,86,144
600,102,144
600,94,140
600,102,144
600,94,140
600,88,146
600,75,157
600,91,149
600,94,138
600,88,144
600,108,148
600,89,145
600,92,162
600,97,137
600,107,145
600,106,138
600,100,148
600,100,150
600,105,137
600,101,143
600,102,144
600,84,148
600,96,156
600,77,129
600,125,135
600,115,145
600,102,142
600,92,142
600,87,135
600,92,144
600,84,134
600,103,145
600,93,147
600,103,149
600,83,147
600,84,142
800,60,248
800,70,242
800,56,242
800,65,249
800,63,257
800,58,244
800,57,261
800,65,263
800,79,255
800,62,264
800,60,268
800,73,255
800,52,256
800,65,255
800,68,252
800,70,250
800,55,267
800,49,249
800,74,248
800,62,264
800,58,256
800,57,255
800,68,246
800,69,249
800,58,246
800,59,245
800,68,264
800,67,275
800,62,248
800,59,265
800,76,268
800,60,250
800,63,263
800,68,258
800,72,274
800,69,253
800,60,262
800,65,257
800,63,245
800,68,258
800,49,267
800,65,261
800,57,259
800,84,248
800,77,245
800,61,269
800,74,240
800,67,269
800,63,267
800,57,259
800,62,258
800,85,243
800,61,247
800,72,240
800,62,244
800,57,249
800,56,248
800,64,248
800,63,251
800,64,254
800,64,262
800,62,252
800,66,252
800,62,262
800,67,263
800,69,261
800,75,253
800,58,250
800,68,260
800,61,261
800,68,250
800,66,250
800,57,257
800,59,253
800,75,265
800,59,261
800,69,265
800,62,268
800,58,256
800,56,260
800,69,251
800,64,258
800,73,255
800,63,251
800,76,244
800,62,240
800,80,264
800,66,272
800,62,274
800,66,266
800,60,266
800,53,253
800,60,268
800,59,249
800,70,250
800,68,260
800,53,255
800,70,266
800,57,269
800,55,251
